Model,Overall Accuracy,COVID-19 - Precision,COVID-19 - Recall,COVID-19 - F1-Score,Dengue - Precision,Dengue - Recall,Dengue - F1-Score,Tuberculosis - Precision,Tuberculosis - Recall,Tuberculosis - F1-Score
Logistic Regression (TF-IDF),0.98,1.0,1.0,1.0,0.9444444444444444,1.0,0.9714285714285714,1.0,0.9411764705882353,0.9696969696969697
SciBERT (Transformer),0.96,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697,1.0,0.9411764705882353,0.9696969696969697
